Dates,0 over 0 (SEXTANT / merged / Standard / CHLA / DAILY)_Status
2018-08-01, ✅ Downloaded
2018-08-02, ✅ Downloaded
2018-08-03, ✅ Downloaded
2018-08-04, ✅ Downloaded
2018-08-05, ✅ Downloaded
2018-08-06, ✅ Downloaded
2018-08-07, ✅ Downloaded
2018-08-08, ✅ Downloaded
2018-08-09, ✅ Downloaded
2018-08-10, ✅ Downloaded
2018-08-11, ✅ Downloaded
2018-08-12, ✅ Downloaded
2018-08-13, ✅ Downloaded
2018-08-14, ✅ Downloaded
2018-08-15, ✅ Downloaded
2018-08-16, ✅ Downloaded
2018-08-17, ✅ Downloaded
2018-08-18, ✅ Downloaded
2018-08-19, ✅ Downloaded
2018-08-20, ✅ Downloaded
2018-08-21, ✅ Downloaded
2018-08-22, ✅ Downloaded
2018-08-23, ✅ Downloaded
2018-08-24, ✅ Downloaded
2018-08-25, ✅ Downloaded
2018-08-26, ✅ Downloaded
2018-08-27, ✅ Downloaded
2018-08-28, ✅ Downloaded
2018-08-29, ✅ Downloaded
2018-08-30, ✅ Downloaded
2018-08-31, ✅ Downloaded
